instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,2229,1716,3945
comp-2007-2-10,2629,1710,4339
comp-2007-2-11,1841,2446,4287
comp-2007-2-12,2598,2342,4940
comp-2007-2-13,1029,1000,2029
comp-2007-2-14,1090,1033,2123
comp-2007-2-15,1218,1281,2499
comp-2007-2-16,949,1077,2026
comp-2007-2-17,1192,1437,2629
comp-2007-2-18,1834,1545,3379
comp-2007-2-19,2978,2367,5345
comp-2007-2-2,2196,1736,3932
comp-2007-2-20,1792,2290,4082
comp-2007-2-21,915,1051,1966
comp-2007-2-22,2304,1804,4108
comp-2007-2-23,5122,3330,8452
comp-2007-2-24,2554,2339,4893
comp-2007-2-3,1622,1935,3557
comp-2007-2-4,2042,2427,4469
comp-2007-2-5,974,1096,2070
comp-2007-2-6,831,1125,1956
comp-2007-2-7,1074,1237,2311
comp-2007-2-8,1305,1077,2382
comp-2007-2-9,2295,1718,4013
